code,label_en
GD_F42,Government consolidated gross debt at face value - long-term loans
GD_FOR,"General government gross debt, of which in foreign currency"
GD_HOLD,Holdings of other subsectors' debt
GD_LL,"General government gross debt, long-term original maturity, of which payment due in more than one year"
GD_NAC,"General government gross debt, of which in national currency"
GD_S1,"General government gross debt, of which domestic counterparts"
GD_S2,"General government gross debt, of which non-domestic counterparts"
GD_TS,"General government gross debt, short-term remaining maturity"
GD_VAR,Government consolidated gross debt at face value - at variable interest
GVA_NCS,Gross value added per unit of net fixed assets
HW_EMP,Hours worked per employed person
HW_HAB,Hours worked per capita
IGL_F4_EA19,Intergovernmental lending within EA19 (2015-2022)
IGL_F4_EA20,Intergovernmental lending within EA20 (2023-2025)
IGL_F4_EA21,Intergovernmental lending within EA21 (from 2026)
IGL_F4_EU27_2020,Intergovernmental lending within EU27 (from 2020)
IN,Primary incomes and current transfers
IN1,Primary income
IN2,Secondary income
IN21,Secondary income: current transfers
IRG_S11,Gross investment rate of non-financial corporations (P51G/B1G*100)
IRG_S14,Gross investment rate of household (P51G/(B6G+D8Net)*100)
IRG_S14_S15,Gross investment rate of households (P51G/(B6G+D8Net)*100)
K5,Changes due to other changes in volume
K61,Changes in sector classification and structure (+/-)
K7,Changes due to revaluations
KX,Adjustments: other volume changes in financial liabilities (-)
LIFA,"Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in financial activities"
LIOA,"Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in other activities"
LIOALM,"Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in other activities, of which loss-making non-financial units"
NAP,Not applicable
NCS_EMP,Net fixed assets per employed person
NCS_GVA,Net fixed assets to gross value added
NCS_HW,Net fixed assets per hour worked
NFW_S14,Household net financial assets ratio (BF90/(B6G+D8net)*100)
NFW_S14_S15,Household net financial assets ratio (BF90/(B6G+D8net)*100)
NLPR_HW,Nominal labour productivity per hour worked
NLPR_PER,Nominal labour productivity per person
NP,Acquisitions less disposals of non-financial non-produced assets
NULC_HW,Nominal unit labour cost based on hours worked
NULC_PER,Nominal unit labour cost based on persons
OFF_PPP,Adjusted capital value of off-balance private-public partnerships (PPPs)
OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets
ORADJ,Total adjustments
ORCC,"Own resource collection costs, revenue"
ORD41A_ADJ,Adjustments: difference between interest expenditure (D.41) accrued (-) and paid (+)
ORD41A_ORWB,Difference between interest (D.41) paid (+) and accrued (-) included in the working balance
ORFCD,Adjustments: appreciation (+)/depreciation (-) of foreign currency debt
ORINV,Adjustments: issuances above (-)/below (+) nominal value
ORNF_ORWB,Non-financial transactions not included in the working balance
OROA_ORWB,Other adjustments (+/-) included in the working balance
ORRNV,Adjustments: redemptions/repurchase of debt above (+)/below (-) nominal value
ORWB,Working balance
ORWB_E,Working balance (+/-) of entities not part of the subsector
OTE,Total general government expenditure
OTH,Other
OTR,Total general government revenue
P1,Output
P11,Market output
P11_P12,Market output and output for own final use
P11_P12_P131,"Market output, output for own final use and payments for non-market output"
P12,Output for own final use
P13,Non-market output
P131,Payments for non-market output
P132,"Non-market output, other"
P1O,"Market output, output for final use and payments for other non-market output"
P2,Intermediate consumption
P2_D29_D5_D8,"""Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements"""
P3,Final consumption expenditure
P31,Individual consumption expenditure
P311_S14,"Final consumption expenditure of households, durable goods"
